Id,Wins
0,0
1,0
2,1
3,3
4,0
5,18
6,0
7,6
8,3
9,23
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,7
21,0
22,5
23,2
24,0
25,0
26,8
27,8
28,16
29,5
30,19
31,1
32,1
33,6
34,0
35,0
36,13
37,4
38,0
39,0
40,2
41,0
42,3
43,0
44,0
45,0
46,0
47,0
48,3
49,0
50,13
51,1
52,0
53,0
54,0
55,1
56,0
57,11
58,0
59,0
60,0
61,0
62,0
63,1
64,7
65,1
66,6
67,0
68,2
69,0
70,0
71,3
72,0
73,0
74,0
75,10
76,0
77,0
78,2
79,1
80,0
81,4
82,0
83,11
84,13
85,0
86,5
87,15
88,0
89,2
90,1
91,1
92,38
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,11
103,3
104,0
105,0
106,0
107,4
108,5
109,0
110,0
111,1
112,16
113,0
114,0
