Id,Positions
1,adeee
2,deaae
3,edeba
4,acbae
5,eeeaa
6,aaeee
7,edbad
8,abeee
9,dacbe
10,aceee
11,eaeee
12,abeee
13,eaaee
14,eccae
15,aacee
16,edabe
17,eaeee
18,aeeee
19,badde
20,aeeca
21,eabbe
22,eacde
23,ddead
25,eadbd
26,eeeaa
27,edeaa
28,ceaae
29,eeaee
30,eeeaa
31,eeeca
32,eecae
33,eeaae
34,eaede
35,baeee
36,cabbe
37,eceba
38,eeaae
39,caeee
40,cbcad
41,beaee
42,aeeee
43,daeee
44,abeee
45,ebeae
46,eaeee
47,dabee
48,abeee
49,eabee
50,eeeba
51,eeaae
52,ebeac
53,ceace
54,aeeee
55,eeaee
56,abeee
57,eeaac
58,eecae
59,abdee
60,eebae
61,ebaee
62,eeeae
63,adace
64,eeeaa
65,ebace
66,eeeae
67,aeeee
68,edeba
69,eebae
70,aaeee
71,eebae
72,aeeee
73,caeee
74,eaeee
75,baeaa
76,caeee
77,aeece
78,ebaee
79,eeeba
80,aabee
81,aeeee
82,daede
83,eeeac
84,eeeaa
85,eeabd
86,eeeba
87,eeeba
88,eeabe
89,aadce
90,eeeab
91,eeeaa
92,ebeac
93,adeee
94,aaeee
95,abeee
96,deaee
97,ebace
98,bbaee
99,bbaee
100,eedae
101,edeba
102,deabd
103,eecab
104,eeaae
105,eeeae
106,caeee
107,eeeae
108,eeace
109,aceee
110,eecaa
111,eeeca
112,eeeba
113,aaeee
114,eecac
